2026-05-27 17:42:30 | DEBUG    | browser | Filters reset
2026-05-27 17:42:30 | INFO     | browser | Selecting filter: Global Tender
2026-05-27 17:42:38 | DEBUG    | browser | Downloaded: GeM-Bidding-9246893.pdf
2026-05-27 17:42:47 | DEBUG    | browser | Downloaded: GeM-Bidding-9255239.pdf
2026-05-27 17:42:55 | DEBUG    | browser | Downloaded: GeM-Bidding-9295700.pdf
2026-05-27 17:43:02 | DEBUG    | browser | Downloaded: GeM-Bidding-9206750.pdf
2026-05-27 17:43:09 | DEBUG    | browser | Downloaded: GeM-Bidding-9351575.pdf
2026-05-27 17:43:16 | DEBUG    | browser | Downloaded: GeM-Bidding-9257018.pdf
2026-05-27 17:43:26 | DEBUG    | browser | Downloaded: GeM-Bidding-9318506.pdf
2026-05-27 17:43:35 | DEBUG    | browser | Downloaded: GeM-Bidding-9284375.pdf
2026-05-27 17:43:43 | DEBUG    | browser | Downloaded: GeM-Bidding-9383406.pdf
2026-05-27 21:16:35 | INFO     | browser | Browser launched (stealth mode)
2026-05-27 21:16:35 | INFO     | browser | Opening: https://bidplus.gem.gov.in/all-bids
